topology,benchmark,num_agents,observable,n,mean,xmax,gini,p90
hybrid_modular,SWE-bench,8,revision_wave,30,1.0,1.0,0.0,1.0
hybrid_modular,SWE-bench,8,merge_fanin,105,2.8571,4.0,0.1571,4.0
hybrid_modular,SWE-bench,8,influence_per_agent,7,34.2857,60.0,0.1071,42.0
sparse_mesh,SWE-bench,128,contradiction_burst,1,1.0,1.0,0.0,1.0
sparse_mesh,SWE-bench,128,merge_fanin,495,6.7879,128.0,0.5411,3.0
sparse_mesh,SWE-bench,128,influence_per_agent,71,13.9437,40.0,0.2211,20.0
sparse_mesh,SWE-bench,16,merge_fanin,315,3.619,16.0,0.1629,3.0
sparse_mesh,SWE-bench,16,influence_per_agent,16,39.375,60.0,0.1895,55.0
sparse_mesh,SWE-bench,32,merge_fanin,375,4.16,32.0,0.2677,3.0
sparse_mesh,SWE-bench,32,influence_per_agent,30,25.0,60.0,0.3284,50.0
sparse_mesh,SWE-bench,64,merge_fanin,435,5.1034,64.0,0.3979,3.0
sparse_mesh,SWE-bench,64,influence_per_agent,51,17.0588,30.0,0.2227,30.0
sparse_mesh,SWE-bench,8,merge_fanin,255,3.2941,8.0,0.084,3.0
sparse_mesh,SWE-bench,8,influence_per_agent,8,63.75,70.0,0.0368,70.0
star,SWE-bench,128,delegation_cascade,1905,2.0,2.0,0.0,2.0
star,SWE-bench,128,revision_wave,1905,2.0,2.0,0.0,2.0
star,SWE-bench,128,merge_fanin,15,127.0,127.0,0.0,127.0
star,SWE-bench,128,influence_per_agent,128,30.0,1935.0,0.4961,15.0
star,SWE-bench,16,delegation_cascade,225,2.0,2.0,0.0,2.0
star,SWE-bench,16,revision_wave,225,2.0,2.0,0.0,2.0
star,SWE-bench,16,merge_fanin,15,15.0,15.0,0.0,15.0
star,SWE-bench,16,influence_per_agent,16,30.0,255.0,0.4688,15.0
star,SWE-bench,32,delegation_cascade,465,2.0,2.0,0.0,2.0
star,SWE-bench,32,revision_wave,465,2.0,2.0,0.0,2.0
star,SWE-bench,32,merge_fanin,15,31.0,31.0,0.0,31.0
star,SWE-bench,32,influence_per_agent,32,30.0,495.0,0.4844,15.0
star,SWE-bench,64,delegation_cascade,945,2.0,2.0,0.0,2.0
star,SWE-bench,64,revision_wave,945,2.0,2.0,0.0,2.0
star,SWE-bench,64,merge_fanin,15,63.0,63.0,0.0,63.0
star,SWE-bench,64,influence_per_agent,64,30.0,975.0,0.4922,15.0
star,SWE-bench,8,delegation_cascade,105,2.0,2.0,0.0,2.0
star,SWE-bench,8,revision_wave,105,2.0,2.0,0.0,2.0
star,SWE-bench,8,merge_fanin,15,7.0,7.0,0.0,7.0
star,SWE-bench,8,influence_per_agent,8,30.0,135.0,0.4375,51.0
tree,SWE-bench,128,revision_wave,15,2.0,2.0,0.0,2.0
tree,SWE-bench,128,contradiction_burst,1,2.0,2.0,0.0,2.0
tree,SWE-bench,128,merge_fanin,945,2.0,2.0,0.0,2.0
tree,SWE-bench,128,influence_per_agent,64,59.2969,60.0,0.0117,60.0
tree,SWE-bench,16,revision_wave,15,2.0,2.0,0.0,2.0
tree,SWE-bench,16,merge_fanin,105,2.0,2.0,0.0,2.0
tree,SWE-bench,16,influence_per_agent,8,54.375,60.0,0.0905,60.0
tree,SWE-bench,32,revision_wave,15,2.0,2.0,0.0,2.0
tree,SWE-bench,32,merge_fanin,225,2.0,2.0,0.0,2.0
tree,SWE-bench,32,influence_per_agent,16,57.1875,60.0,0.0461,60.0
tree,SWE-bench,64,revision_wave,15,2.0,2.0,0.0,2.0
tree,SWE-bench,64,merge_fanin,465,2.0,2.0,0.0,2.0
tree,SWE-bench,64,influence_per_agent,32,58.5938,60.0,0.0232,60.0
tree,SWE-bench,8,revision_wave,15,2.0,2.0,0.0,2.0
tree,SWE-bench,8,merge_fanin,45,2.0,2.0,0.0,2.0
tree,SWE-bench,8,influence_per_agent,4,48.75,60.0,0.1731,60.0
