run_id,benchmark,topology,num_agents,num_events,num_claim_nodes,num_claim_edges,num_agent_edges,num_root_claims,num_final_claims,num_placeholder_claims,max_out_degree,max_in_degree,max_claim_depth,mean_claim_depth
GAIA__chain__n32__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,32,32,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n32__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,32,32,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n32__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,32,32,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,64,64,64,61,59,1,1,2,1,1,63,31.79
GAIA__chain__n64__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,64,64,4,3,3,1,0,0,1,1,3,1.5
GAIA__chain__n64__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,64,64,5,2,0,1,0,2,1,1,62,33.0
GAIA__chain__n64__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,64,64,5,4,4,1,0,0,1,1,4,2.0
GAIA__chain__n64__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,64,64,15,14,14,1,0,0,1,1,14,7.0
GAIA__chain__n64__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,64,64,3,1,0,1,0,1,1,1,52,26.0
GAIA__chain__n64__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,64,64,64,63,63,1,1,0,1,1,63,31.5
GAIA__chain__n64__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n64__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,64,64,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,8,8,8,7,7,1,1,0,1,1,7,3.5
GAIA__chain__n8__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,8,8,5,4,4,1,0,0,1,1,4,2.0
GAIA__chain__n8__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,8,8,3,2,2,1,0,0,1,1,2,1.0
GAIA__chain__n8__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,8,8,8,7,7,1,1,0,1,1,7,3.5
GAIA__chain__n8__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,8,8,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n8__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,8,8,8,7,7,1,1,0,1,1,7,3.5
GAIA__chain__n8__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,8,8,6,4,3,1,0,1,1,1,5,2.2
GAIA__chain__n8__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,8,8,6,3,1,1,0,2,1,1,6,2.75
GAIA__dynamic_reputation__n128__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,128,184,184,141,138,128,1,0,5,32,5,0.761
GAIA__dynamic_reputation__n128__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,128,184,184,141,138,128,1,0,5,32,5,0.761
GAIA__dynamic_reputation__n128__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,128,184,184,141,138,128,1,0,5,32,5,0.761
GAIA__dynamic_reputation__n128__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,128,184,184,141,138,128,1,0,5,32,5,0.761
